,Class,R,G,B,H,S,V,L,A,B
75,1.0,50.0,61.0,133.0,4.0,159.0,133.0,89.0,158.0,149.0
76,2.0,67.0,94.0,62.0,65.0,87.0,94.0,94.0,110.0,140.0
77,3.0,106.0,68.0,73.0,124.0,91.0,106.0,79.0,139.0,107.0
78,0.0,51.0,54.0,66.0,6.0,58.0,66.0,61.0,133.0,132.0
79,0.0,49.0,51.0,62.0,5.0,53.0,62.0,57.0,132.0,131.0
80,1.0,59.0,71.0,139.0,5.0,147.0,139.0,98.0,155.0,148.0
81,2.0,68.0,96.0,73.0,55.0,74.0,96.0,97.0,113.0,141.0
82,3.0,88.0,49.0,52.0,122.0,113.0,88.0,57.0,140.0,105.0
83,0.0,49.0,53.0,64.0,8.0,60.0,64.0,59.0,132.0,132.0
84,1.0,54.0,64.0,130.0,4.0,149.0,130.0,90.0,155.0,147.0
85,1.0,46.0,56.0,122.0,4.0,159.0,122.0,82.0,156.0,148.0
86,2.0,61.0,87.0,65.0,55.0,76.0,87.0,88.0,114.0,141.0
87,3.0,93.0,57.0,65.0,127.0,99.0,93.0,67.0,141.0,108.0
88,1.0,48.0,59.0,128.0,4.0,159.0,128.0,86.0,157.0,149.0
89,2.0,62.0,88.0,69.0,52.0,75.0,88.0,90.0,115.0,141.0
90,3.0,104.0,74.0,85.0,131.0,74.0,104.0,86.0,139.0,112.0
91,0.0,46.0,49.0,64.0,5.0,72.0,64.0,56.0,135.0,132.0
92,1.0,45.0,55.0,128.0,4.0,165.0,128.0,84.0,159.0,149.0
93,2.0,64.0,87.0,73.0,48.0,67.0,87.0,90.0,118.0,140.0
94,0.0,56.0,61.0,81.0,6.0,79.0,81.0,71.0,136.0,135.0
95,0.0,50.0,52.0,68.0,3.0,68.0,68.0,60.0,135.0,132.0
96,3.0,88.0,53.0,61.0,127.0,101.0,88.0,63.0,140.0,108.0
97,0.0,52.0,56.0,74.0,5.0,76.0,74.0,65.0,135.0,134.0
98,1.0,47.0,58.0,136.0,4.0,167.0,136.0,89.0,161.0,151.0
99,2.0,64.0,87.0,72.0,50.0,67.0,87.0,89.0,117.0,139.0
100,3.0,84.0,47.0,54.0,126.0,112.0,84.0,56.0,141.0,107.0
101,0.0,42.0,46.0,62.0,6.0,82.0,62.0,53.0,135.0,133.0
102,1.0,46.0,57.0,131.0,4.0,165.0,131.0,86.0,159.0,150.0
103,3.0,84.0,47.0,53.0,125.0,112.0,84.0,55.0,141.0,106.0
104,0.0,56.0,60.0,79.0,5.0,74.0,79.0,70.0,135.0,134.0
105,1.0,49.0,59.0,132.0,4.0,160.0,132.0,88.0,159.0,149.0
106,0.0,51.0,53.0,70.0,3.0,69.0,70.0,61.0,135.0,132.0
107,0.0,52.0,55.0,73.0,4.0,73.0,73.0,64.0,136.0,133.0
108,0.0,52.0,54.0,71.0,3.0,68.0,71.0,62.0,135.0,132.0
109,1.0,50.0,59.0,129.0,3.0,156.0,129.0,87.0,157.0,148.0
110,2.0,69.0,89.0,77.0,48.0,57.0,89.0,93.0,119.0,138.0
111,3.0,95.0,61.0,71.0,129.0,91.0,95.0,72.0,141.0,109.0
112,0.0,50.0,52.0,70.0,3.0,73.0,70.0,60.0,136.0,132.0
113,1.0,29.0,38.0,107.0,3.0,186.0,107.0,65.0,158.0,150.0
114,2.0,50.0,74.0,45.0,65.0,100.0,74.0,73.0,111.0,139.0
115,3.0,74.0,42.0,41.0,119.0,114.0,74.0,47.0,138.0,108.0
116,0.0,34.0,35.0,41.0,4.0,44.0,41.0,36.0,132.0,129.0
117,0.0,34.0,34.0,40.0,0.0,38.0,40.0,36.0,130.0,129.0
118,1.0,32.0,40.0,115.0,3.0,184.0,115.0,70.0,161.0,151.0
119,3.0,76.0,48.0,51.0,123.0,94.0,76.0,54.0,137.0,111.0
120,0.0,33.0,33.0,40.0,0.0,45.0,40.0,35.0,130.0,130.0
121,1.0,40.0,48.0,119.0,3.0,169.0,119.0,76.0,159.0,149.0
122,3.0,73.0,40.0,41.0,121.0,115.0,73.0,45.0,139.0,107.0
123,0.0,30.0,30.0,38.0,0.0,54.0,38.0,31.0,132.0,130.0
124,0.0,33.0,34.0,41.0,4.0,50.0,41.0,36.0,132.0,130.0
125,1.0,36.0,44.0,121.0,3.0,179.0,121.0,75.0,161.0,151.0
126,2.0,46.0,70.0,43.0,63.0,98.0,70.0,69.0,112.0,139.0
127,0.0,66.0,70.0,77.0,11.0,36.0,77.0,77.0,130.0,132.0
128,0.0,68.0,72.0,79.0,11.0,36.0,79.0,80.0,130.0,132.0
129,3.0,118.0,77.0,80.0,122.0,89.0,118.0,88.0,139.0,105.0
130,2.0,87.0,115.0,84.0,63.0,69.0,115.0,116.0,111.0,140.0
131,4.0,82.0,121.0,149.0,17.0,115.0,149.0,134.0,133.0,153.0
132,0.0,70.0,74.0,82.0,10.0,37.0,82.0,82.0,130.0,132.0
133,0.0,65.0,69.0,79.0,9.0,45.0,79.0,77.0,132.0,132.0
134,3.0,113.0,69.0,71.0,121.0,99.0,113.0,80.0,140.0,103.0
